parser,id,text,category,gold_intent,gold_target_lane,pred_intent,pred_target_lane,pred_source,fallback,intent_correct,target_correct,exact_match,lane_targeting_applicable,lane_targeting_correct,fp_oos_applicable,fp_oos,latency_ms_mean,latency_ms_min,latency_ms_max
rule,u001,change to lane 1,direct_imperative,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.018946000636788085,0.018946000636788085,0.018946000636788085
rule,u002,change to lane 2,direct_imperative,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.4996820007363567,0.4996820007363567,0.4996820007363567
rule,u003,switch to lane one,direct_imperative,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.02001799839490559,0.02001799839490559,0.02001799839490559
rule,u004,switch to lane two,direct_imperative,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.1173210002889391,0.1173210002889391,0.1173210002889391
rule,u005,move into lane 1,direct_imperative,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.01695200080575887,0.01695200080575887,0.01695200080575887
rule,u006,move into lane 2,direct_imperative,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.022071999410400167,0.022071999410400167,0.022071999410400167
rule,u007,merge into lane one,direct_imperative,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.01752299976942595,0.01752299976942595,0.01752299976942595
rule,u008,merge into lane two,direct_imperative,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.02253299862786662,0.02253299862786662,0.02253299862786662
rule,u009,go to lane 1,direct_imperative,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.014818000636296347,0.014818000636296347,0.014818000636296347
rule,u010,go to lane 2,direct_imperative,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.02017800034082029,0.02017800034082029,0.02017800034082029
rule,u011,take lane number one,direct_imperative,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.018243999875267036,0.018243999875267036,0.018243999875267036
rule,u012,take lane number two,direct_imperative,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.06191600004967768,0.06191600004967768,0.06191600004967768
rule,u013,enter lane 1,direct_imperative,CHANGE_LANE,lane1,FOLLOW_LANE,lane1,rule,False,False,True,False,True,True,False,False,0.01575900023453869,0.01575900023453869,0.01575900023453869
rule,u014,enter lane 2,direct_imperative,CHANGE_LANE,lane2,FOLLOW_LANE,lane2,rule,False,False,True,False,True,True,False,False,0.01915600114443805,0.01915600114443805,0.01915600114443805
rule,u015,shift to lane one,direct_imperative,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.016631000107736327,0.016631000107736327,0.016631000107736327
rule,u016,shift to lane two,direct_imperative,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.02114999915647786,0.02114999915647786,0.02114999915647786
rule,u017,transfer to lane 1,direct_imperative,CHANGE_LANE,lane1,FOLLOW_LANE,lane1,rule,False,False,True,False,True,True,False,False,0.015659999917261302,0.015659999917261302,0.015659999917261302
rule,u018,transfer to lane 2,direct_imperative,CHANGE_LANE,lane2,FOLLOW_LANE,lane2,rule,False,False,True,False,True,True,False,False,0.020227998902555555,0.020227998902555555,0.020227998902555555
rule,u019,get into lane number one,direct_imperative,CHANGE_LANE,lane1,FOLLOW_LANE,lane1,rule,False,False,True,False,True,True,False,False,0.018554999769548886,0.018554999769548886,0.018554999769548886
rule,u020,get into lane number two,direct_imperative,CHANGE_LANE,lane2,FOLLOW_LANE,lane2,rule,False,False,True,False,True,True,False,False,0.02420599957986269,0.02420599957986269,0.02420599957986269
rule,u021,move over to lane 1,direct_imperative,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.018995000573340803,0.018995000573340803,0.018995000573340803
rule,u022,move over to lane 2,direct_imperative,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.028863998522865586,0.028863998522865586,0.028863998522865586
rule,u023,set lane one as the target,direct_imperative,CHANGE_LANE,lane1,FOLLOW_LANE,lane1,rule,False,False,True,False,True,True,False,False,0.019736999092856422,0.019736999092856422,0.019736999092856422
rule,u024,set lane two as the target,direct_imperative,CHANGE_LANE,lane2,FOLLOW_LANE,lane2,rule,False,False,True,False,True,True,False,False,0.023734999558655545,0.023734999558655545,0.023734999558655545
rule,u025,proceed to lane 1,direct_imperative,CHANGE_LANE,lane1,FOLLOW_LANE,lane1,rule,False,False,True,False,True,True,False,False,0.015730000086477958,0.015730000086477958,0.015730000086477958
rule,u026,could you move to the left lane,polite_indirect,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.02222199873358477,0.02222199873358477,0.02222199873358477
rule,u027,could you move to the right lane,polite_indirect,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.1353759998892201,0.1353759998892201,0.1353759998892201
rule,u028,please head over to lane 1,polite_indirect,CHANGE_LANE,lane1,FOLLOW_LANE,lane1,rule,False,False,True,False,True,True,False,False,0.0186849993042415,0.0186849993042415,0.0186849993042415
rule,u029,please head over to lane 2,polite_indirect,CHANGE_LANE,lane2,FOLLOW_LANE,lane2,rule,False,False,True,False,True,True,False,False,0.023925000277813524,0.023925000277813524,0.023925000277813524
rule,u030,would you switch to the inner lane,polite_indirect,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.02250299985462334,0.02250299985462334,0.02250299985462334
rule,u031,would you switch to the outer lane,polite_indirect,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.09100200077227782,0.09100200077227782,0.09100200077227782
rule,u032,can you take lane one please,polite_indirect,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.020588000552379526,0.020588000552379526,0.020588000552379526
rule,u033,can you take lane two please,polite_indirect,CHANGE_LANE,lane2,CHANGE_LANE,lane2,rule,False,True,True,True,True,True,False,False,0.025778999770409428,0.025778999770409428,0.025778999770409428
rule,u034,i'd like you to merge into the left lane,polite_indirect,CHANGE_LANE,lane1,CHANGE_LANE,lane1,rule,False,True,True,True,True,True,False,False,0.024275999749079347,0.024275999749079347,0.024275999749079347
